Year,순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
2001,1,두산,133,65,63,5,0.508,0,2승0무8패,3패,33-4-29,32-1-34
2001,2,삼성,133,81,52,0,0.609,-13.5,4승0무6패,1승,42-0-24,39-0-28
2001,3,현대,133,72,57,4,0.558,-6.5,3승0무7패,1승,39-1-27,33-3-30
2001,4,한화,133,61,68,4,0.473,4.5,7승0무3패,2패,27-3-36,34-1-32
2001,5,KIA,133,60,68,5,0.469,5,6승0무4패,1승,28-3-36,32-2-32
2001,6,LG,133,58,67,8,0.464,5.5,7승0무3패,3승,33-1-33,25-7-34
2001,7,SK,133,60,71,2,0.458,6.5,7승0무3패,1패,32-1-34,28-1-37
2001,8,롯데,133,59,70,4,0.457,6.5,5승0무5패,2패,26-3-37,33-1-33
2002,1,삼성,133,82,47,4,0.636,0,6승0무4패,2승,40-2-25,42-2-22
2002,2,LG,133,66,61,6,0.520,15,5승0무5패,1승,32-4-30,34-2-31
2002,3,KIA,133,78,51,4,0.605,4,4승0무6패,2패,38-4-24,40-0-27
2002,4,현대,133,70,58,5,0.547,11.5,6승0무4패,1패,36-2-28,34-3-30
2002,5,두산,133,66,65,2,0.504,17,4승0무6패,2패,32-0-35,34-2-30
2002,6,SK,133,61,69,3,0.469,21.5,5승0무5패,3승,31-2-33,30-1-36
2002,7,한화,133,59,69,5,0.461,22.5,3승0무7패,1승,31-1-35,28-4-34
2002,8,롯데,133,35,97,1,0.265,48.5,5승0무5패,1패,18-0-49,17-1-48
2003,1,현대,133,80,51,2,0.611,0,7승0무3패,1승,40-1-26,40-1-25
2003,2,SK,133,66,64,3,0.508,13.5,5승0무5패,1승,35-2-30,31-1-34
2003,3,KIA,133,78,50,5,0.609,0.5,6승1무3패,1패,44-1-22,34-4-28
2003,4,삼성,133,76,53,4,0.589,3,3승1무6패,3패,42-1-23,34-3-30
2003,5,한화,133,63,65,5,0.492,15.5,6승0무4패,3패,36-3-27,27-2-38
2003,6,LG,133,60,71,2,0.458,20,3승0무7패,2승,34-1-32,26-1-39
2003,7,두산,133,57,74,2,0.435,23,5승0무5패,1승,25-2-39,32-0-35
2003,8,롯데,133,39,91,3,0.300,40.5,3승0무7패,2승,20-2-44,19-1-47
2004,1,현대,133,75,53,5,0.586,0,7승0무3패,3승,40-4-22,35-1-31
2004,2,삼성,133,73,52,8,0.584,0.5,6승1무3패,1패,36-3-28,37-5-24
2004,3,두산,133,70,62,1,0.530,7,6승0무4패,1승,40-0-27,30-1-35
2004,4,KIA,133,67,61,5,0.523,8,4승1무5패,3패,34-2-30,33-3-31
2004,5,SK,133,61,64,8,0.488,12.5,2승0무8패,1패,32-5-29,29-3-35
2004,6,LG,133,59,70,4,0.457,16.5,4승0무6패,2패,33-4-29,26-0-41
2004,7,한화,133,53,74,6,0.417,21.5,5승0무5패,1승,27-3-37,26-3-37
2004,8,롯데,133,50,72,11,0.410,22,5승0무5패,3승,24-3-40,26-8-32
2005,1,삼성,126,74,48,4,0.607,0,5승0무5패,1승,36-3-24,38-1-24
2005,2,두산,126,72,51,3,0.585,2.5,9승0무1패,6승,41-0-22,31-3-29
2005,3,SK,126,70,50,6,0.583,3,6승0무4패,1패,35-4-24,35-2-26
2005,4,한화,126,64,61,1,0.512,11.5,3승0무7패,2패,35-1-27,29-0-34
2005,5,롯데,126,58,67,1,0.464,17.5,5승0무5패,1승,29-0-34,29-1-33
2005,6,LG,126,54,71,1,0.432,21.5,5승0무5패,1승,33-0-30,21-1-41
2005,7,현대,126,53,70,3,0.431,21.5,6승0무4패,2패,26-2-35,27-1-35
2005,8,KIA,126,49,76,1,0.392,26.5,4승0무6패,1패,28-0-35,21-1-41
2006,1,삼성,126,73,50,3,0.593,0,6승0무4패,2승,39-1-23,34-2-27
2006,2,한화,126,67,57,2,0.540,6.5,7승0무3패,2승,33-2-28,34-0-29
2006,3,현대,126,70,55,1,0.560,4,5승0무5패,2패,35-1-27,35-0-28
2006,4,KIA,126,64,59,3,0.520,9,6승0무4패,2승,33-2-28,31-1-31
2006,5,두산,126,63,60,3,0.512,10,7승0무3패,1승,34-1-28,29-2-32
2006,6,SK,126,60,65,1,0.480,14,5승0무5패,1승,33-1-29,27-0-36
2006,7,롯데,126,50,73,3,0.407,23,2승0무8패,4패,34-2-27,16-1-46
2006,8,LG,126,47,75,4,0.385,25.5,2승0무8패,8패,30-0-33,17-4-42
2007,1,SK,126,73,48,5,0.603,0,6승0무4패,1승,39-3-21,34-2-27
2007,2,두산,126,70,54,2,0.565,4.5,8승0무2패,1패,38-1-24,32-1-30
2007,3,한화,126,67,57,2,0.540,7.5,6승0무4패,1승,34-1-28,33-1-29
2007,4,삼성,126,62,60,4,0.508,11.5,3승0무7패,2패,35-1-27,27-3-33
2007,5,LG,126,58,62,6,0.483,14.5,4승0무6패,1패,29-5-29,29-1-33
2007,6,현대,126,56,69,1,0.448,19,5승0무5패,2승,29-0-34,27-1-35
2007,7,롯데,126,55,68,3,0.447,19,4승0무6패,2승,30-1-32,25-2-36
2007,8,KIA,126,51,74,1,0.408,24,4승0무6패,1패,27-0-36,24-1-38
2008,1,SK,126,83,43,0,0.659,0,5승0무5패,2패,43-0-20,40-0-23
2008,2,두산,126,70,56,0,0.556,13,3승0무7패,2패,35-0-28,35-0-28
2008,3,롯데,126,69,57,0,0.548,14,4승0무6패,1패,32-0-31,37-0-26
2008,4,삼성,126,65,61,0,0.516,18,5승0무5패,1승,33-0-30,32-0-31
2008,5,한화,126,64,62,0,0.508,19,6승0무4패,2승,35-0-28,29-0-34
2008,6,KIA,126,57,69,0,0.452,26,5승0무5패,1승,30-0-33,27-0-36
2008,7,우리,126,50,76,0,0.397,33,6승0무4패,1승,26-0-37,24-0-39
2008,8,LG,126,46,80,0,0.365,37,4승0무6패,1승,24-0-39,22-0-41
2009,1,KIA,133,81,48,4,0.609,0,8승0무2패,7승,37-4-25,44-0-23
2009,2,SK,133,80,47,6,0.602,0,9승1무0패,19승,40-2-25,40-4-22
2009,3,두산,133,71,60,2,0.534,11,4승0무6패,2패,34-1-32,37-1-28
2009,4,롯데,133,66,67,0,0.496,17,6승0무4패,2패,34-0-33,32-0-34
2009,5,삼성,133,64,69,0,0.481,19,3승0무7패,4패,37-0-30,27-0-39
2009,6,히어로즈,133,60,72,1,0.451,22.5,2승0무8패,3패,31-0-35,29-1-37
2009,7,LG,133,54,75,4,0.406,27,3승1무6패,2승,29-2-35,25-2-40
2009,8,한화,133,46,84,3,0.346,35.5,5승0무5패,2승,23-1-42,23-2-42
2010,1,SK,133,84,47,2,0.632,0,6승1무3패,1승,40-0-26,44-2-21
2010,2,삼성,133,79,52,2,0.594,5,4승1무5패,1승,37-0-29,42-2-23
2010,3,두산,133,73,57,3,0.549,10.5,5승0무5패,1패,37-2-27,36-1-30
2010,4,롯데,133,69,61,3,0.519,14.5,8승0무2패,4승,33-1-32,36-2-29
2010,5,KIA,133,59,74,0,0.444,26,5승0무5패,3패,30-0-37,29-0-37
2010,6,LG,133,57,71,5,0.429,25.5,3승2무5패,1패,31-3-33,26-2-38
2010,7,넥센,133,52,78,3,0.391,31.5,2승0무8패,2패,23-3-41,29-0-37
2010,8,한화,133,49,82,2,0.368,35,5승1무4패,2승,27-1-39,22-1-43
2011,1,삼성,133,79,50,4,0.612,0,5승2무3패,1승,41-1-25,38-3-25
2011,2,SK,133,71,59,3,0.546,8.5,5승1무4패,2승,34-2-31,37-1-28
2011,3,롯데,133,72,56,5,0.563,6.5,8승0무2패,4승,40-3-24,32-2-32
2011,4,KIA,133,70,63,0,0.526,11,5승0무5패,2패,36-0-30,34-0-33
2011,5,두산,133,61,70,2,0.466,19,6승0무4패,5승,30-0-37,31-2-33
2011,6,LG,133,59,72,2,0.450,21,2승1무7패,1패,29-1-36,30-1-36
2011,6,한화,133,59,72,2,0.450,21,4승0무6패,3패,31-2-33,28-0-39
2011,8,넥센,133,51,80,2,0.389,29,3승0무7패,4패,34-1-31,17-1-49
2012,1,삼성,133,80,51,2,0.611,0,8승0무2패,1승,39-1-26,41-1-25
2012,2,SK,133,71,59,3,0.546,8.5,5승0무5패,1승,38-2-26,33-1-33
2012,3,두산,133,68,62,3,0.523,11.5,5승0무5패,1패,32-0-34,36-3-28
2012,4,롯데,133,65,62,6,0.512,13,3승0무7패,1패,35-4-27,30-2-35
2012,5,KIA,133,62,65,6,0.488,16,7승0무3패,1패,32-5-30,30-1-35
2012,6,넥센,133,61,69,3,0.469,18.5,3승1무6패,2패,34-1-32,27-2-37
2012,7,LG,133,57,72,4,0.442,22,5승0무5패,2승,25-1-41,32-3-31
2012,8,한화,133,53,77,3,0.408,26.5,2승1무7패,1패,27-1-39,26-2-38
2013,1,삼성,128,75,51,2,0.595,0,6승0무4패,1패,37-0-27,38-2-24
2013,2,두산,128,71,54,3,0.568,3.5,6승0무4패,1패,37-1-26,34-2-28
2013,3,LG,128,74,54,0,0.578,2,4승0무6패,2승,37-0-27,37-0-27
2013,4,넥센,128,72,54,2,0.571,3,5승0무5패,1패,36-2-26,36-0-28
2013,5,롯데,128,66,58,4,0.532,8,8승0무2패,2승,33-3-28,33-1-30
2013,6,SK,128,62,63,3,0.496,12.5,3승1무6패,2패,31-2-31,31-1-32
2013,7,NC,128,52,72,4,0.419,22,4승0무6패,1승,28-2-34,24-2-38
2013,8,KIA,128,51,74,3,0.408,23.5,3승1무6패,3패,22-1-41,29-2-33
2013,9,한화,128,42,85,1,0.331,33.5,4승0무6패,1승,21-0-43,21-1-42
2014,1,삼성,128,78,47,3,0.624,0,3승0무7패,1패,40-2-22,38-1-25
2014,2,넥센,128,78,48,2,0.619,0.5,7승1무2패,6승,42-1-21,36-1-27
2014,3,NC,128,70,57,1,0.551,9,6승0무4패,1패,38-0-26,32-1-31
2014,4,LG,128,62,64,2,0.492,16.5,6승0무4패,3패,33-1-30,29-1-34
2014,5,SK,128,61,65,2,0.484,17.5,6승1무3패,1패,31-2-31,30-0-34
2014,6,두산,128,59,68,1,0.465,20,6승0무4패,1승,29-0-35,30-1-33
2014,7,롯데,128,58,69,1,0.457,21,5승0무5패,1승,32-1-31,26-0-38
2014,8,KIA,128,54,74,0,0.422,25.5,3승0무7패,2승,26-0-38,28-0-36
2014,9,한화,128,49,77,2,0.389,29.5,2승0무8패,5패,28-0-36,21-2-41
2015,1,두산,144,79,65,0,0.549,9,6승0무4패,2승,41-0-31,38-0-34
2015,2,삼성,144,88,56,0,0.611,0,6승0무4패,3승,46-0-26,42-0-30
2015,3,NC,144,84,57,3,0.596,2.5,6승1무3패,1패,40-2-30,44-1-27
2015,4,넥센,144,78,65,1,0.545,9.5,4승0무6패,1패,40-0-32,38-1-33
2015,5,SK,144,69,73,2,0.486,18,6승0무4패,1승,37-1-34,32-1-39
2015,6,한화,144,68,76,0,0.472,20,6승0무4패,1패,38-0-34,30-0-42
2015,7,KIA,144,67,77,0,0.465,21,4승0무6패,4패,36-0-36,31-0-41
2015,8,롯데,144,66,77,1,0.462,21.5,2승0무8패,1승,37-0-35,29-1-42
2015,9,LG,144,64,78,2,0.451,23,6승0무4패,2승,33-2-37,31-0-41
2015,10,KT,144,52,91,1,0.364,35.5,2승1무7패,1패,30-0-42,22-1-49
2016,1,두산,144,93,50,1,0.650,0,6승0무4패,2승,46-1-25,47-0-25
2016,2,NC,144,83,58,3,0.589,9,6승0무4패,2패,39-2-31,44-1-27
2016,3,넥센,144,77,66,1,0.538,16,3승0무7패,3패,44-0-28,33-1-38
2016,4,LG,144,71,71,2,0.500,21.5,4승1무5패,1패,40-2-30,31-0-41
2016,5,KIA,144,70,73,1,0.490,23,5승0무5패,2패,38-0-34,32-1-39
2016,6,SK,144,69,75,0,0.479,24.5,4승0무6패,1승,35-0-37,34-0-38
2016,7,한화,144,66,75,3,0.468,26,6승0무4패,3승,36-2-34,30-1-41
2016,8,롯데,144,66,78,0,0.458,27.5,5승0무5패,2승,40-0-32,26-0-46
2016,9,삼성,144,65,78,1,0.455,28,5승0무5패,1패,34-0-38,31-1-40
2016,10,KT,144,53,89,2,0.373,39.5,4승0무6패,2승,28-0-44,25-2-45
2017,1,KIA,144,87,56,1,0.608,0,6승0무4패,2승,45-0-27,42-1-29
2017,2,두산,144,84,57,3,0.596,2,8승0무2패,1패,39-3-30,45-0-27
2017,3,롯데,144,80,62,2,0.563,6.5,8승0무2패,5승,45-2-25,35-0-37
2017,4,NC,144,79,62,3,0.560,7,5승1무4패,4승,44-1-27,35-2-35
2017,5,SK,144,75,68,1,0.524,12,7승0무3패,2승,42-0-30,33-1-38
2017,6,LG,144,69,72,3,0.489,17,4승0무6패,2패,38-0-34,31-3-38
2017,7,넥센,144,69,73,2,0.486,17.5,3승0무7패,4패,39-2-31,30-0-42
2017,8,한화,144,61,81,2,0.430,25.5,3승1무6패,5패,30-1-41,31-1-40
2017,9,삼성,144,55,84,5,0.396,30,4승0무6패,2승,28-2-42,27-3-42
2017,10,KT,144,50,94,0,0.347,37.5,3승0무7패,2패,27-0-45,23-0-49
2018,1,SK,144,78,65,1,0.545,14.5,3승0무7패,2패,42-0-30,36-1-35
2018,2,두산,144,93,51,0,0.646,0,6승0무4패,1승,51-0-21,42-0-30
2018,3,한화,144,77,67,0,0.535,16,5승0무5패,1승,43-0-29,34-0-38
2018,4,넥센,144,75,69,0,0.521,18,5승0무5패,1패,37-0-35,38-0-34
2018,5,KIA,144,70,74,0,0.486,23,4승0무6패,1패,43-0-29,27-0-45
2018,6,삼성,144,68,72,4,0.486,23,6승1무3패,2승,33-3-36,35-1-36
2018,7,롯데,144,68,74,2,0.479,24,6승0무4패,1패,34-0-38,34-2-36
2018,8,LG,144,68,75,1,0.476,24.5,4승0무6패,2승,39-1-32,29-0-43
2018,9,KT,144,59,82,3,0.418,32.5,5승0무5패,1승,31-2-39,28-1-43
2018,10,NC,144,58,85,1,0.406,34.5,2승0무8패,3패,33-0-39,25-1-46
2019,1,두산,144,88,55,1,0.615,0,8승1무1패,5승,47-0-25,41-1-30
2019,2,키움,144,86,57,1,0.601,2,6승0무4패,2승,45-1-26,41-0-31
2019,3,SK,144,88,55,1,0.615,0,4승0무6패,2승,44-1-27,44-0-28
2019,4,LG,144,79,64,1,0.552,9,4승0무6패,1승,41-1-30,38-0-34
2019,5,NC,144,73,69,2,0.514,14.5,4승1무5패,2패,40-2-30,33-0-39
2019,6,KT,144,71,71,2,0.500,16.5,7승0무3패,2승,41-1-30,30-1-41
2019,7,KIA,144,62,80,2,0.437,25.5,5승0무5패,3승,39-0-33,23-2-47
2019,8,삼성,144,60,83,1,0.420,28,4승0무6패,1패,36-0-36,24-1-47
2019,9,한화,144,58,86,0,0.403,30.5,6승0무4패,3패,31-0-41,27-0-45
2019,10,롯데,144,48,93,3,0.340,39,1승0무9패,8패,29-1-42,19-2-51
2020,1,NC,144,83,55,6,0.601,0,4승2무4패,1패,45-3-24,38-3-31
2020,2,두산,144,79,61,4,0.564,5,6승0무4패,4승,41-2-29,38-2-32
2020,3,KT,144,81,62,1,0.566,4.5,7승0무3패,1패,44-0-28,37-1-34
2020,4,LG,144,79,61,4,0.564,5,5승1무4패,2패,39-3-30,40-1-31
2020,5,키움,144,80,63,1,0.559,5.5,6승0무4패,1패,41-1-30,39-0-33
2020,6,KIA,144,73,71,0,0.507,13,4승0무6패,1승,37-0-35,36-0-36
2020,7,롯데,144,71,72,1,0.497,14.5,3승0무7패,1승,41-0-31,30-1-41
2020,8,삼성,144,64,75,5,0.460,19.5,6승2무2패,1승,33-2-37,31-3-38
2020,9,SK,144,51,92,1,0.357,34.5,5승0무5패,1승,28-0-44,23-1-48
2020,10,한화,144,46,95,3,0.326,38.5,3승1무6패,1승,25-2-45,21-1-50
2021,1,KT,144,76,59,9,0.563,0,3승1무6패,1승,41-7-24,35-2-35
2021,2,두산,144,71,65,8,0.522,5.5,5승2무3패,2승,35-6-31,36-2-34
2021,3,삼성,144,76,59,9,0.563,0,6승1무3패,1승,42-4-26,34-5-33
2021,4,LG,144,72,58,14,0.554,1.5,3승5무2패,1패,40-3-29,32-11-29
2021,5,키움,144,70,67,7,0.511,7,6승1무3패,3승,42-4-26,28-3-41
2021,6,SSG,144,66,64,14,0.508,7.5,4승2무4패,1패,37-8-27,29-6-37
2021,7,NC,144,67,68,9,0.496,9,4승1무5패,1패,36-2-34,31-7-34
2021,8,롯데,144,65,71,8,0.478,11.5,4승2무4패,1승,31-5-36,34-3-35
2021,9,KIA,144,58,76,10,0.433,17.5,5승0무5패,2패,31-4-37,27-6-39
2021,10,한화,144,49,83,12,0.371,25.5,2승2무6패,6패,25-7-40,24-5-43
2022,1,SSG,144,88,52,4,0.629,0,4승0무6패,4패,49-0-23,39-4-29
2022,2,키움,144,80,62,2,0.563,9,5승0무5패,1승,39-1-32,41-1-30
2022,3,LG,144,87,55,2,0.613,2,4승0무6패,1승,38-1-33,49-1-22
2022,4,KT,144,80,62,2,0.563,9,7승0무3패,1패,40-1-31,40-1-31
2022,5,KIA,144,70,73,1,0.490,19.5,7승0무3패,1패,31-0-41,39-1-32
2022,6,NC,144,67,74,3,0.475,21.5,6승0무4패,1패,35-3-34,32-0-40
2022,7,삼성,144,66,76,2,0.465,23,6승0무4패,2승,33-2-37,33-0-39
2022,8,롯데,144,64,76,4,0.457,24,5승0무5패,1승,27-3-42,37-1-34
2022,9,두산,144,60,82,2,0.423,29,4승0무6패,2패,29-1-42,31-1-40
2022,10,한화,144,46,96,2,0.324,43,3승0무7패,1패,28-0-44,18-2-52
2023,1,LG,144,86,56,2,0.606,0,5승0무5패,1승,45-1-25,41-1-31
2023,2,KT,144,79,62,3,0.560,6.5,6승0무4패,3승,41-2-30,38-1-32
2023,3,SSG,144,76,65,3,0.539,9.5,8승0무2패,2승,39-2-32,37-1-33
2023,4,NC,144,75,67,2,0.528,11,5승0무5패,2패,41-1-29,34-1-38
2023,5,두산,144,74,68,2,0.521,12,4승0무6패,3패,37-1-35,37-1-33
2023,6,KIA,144,73,69,2,0.514,13,7승0무3패,2승,38-2-31,35-0-38
2023,7,롯데,144,68,76,0,0.472,19,4승0무6패,1승,38-0-35,30-0-41
2023,8,삼성,144,61,82,1,0.427,25.5,4승0무6패,1패,32-0-39,29-1-43
2023,9,한화,144,58,80,6,0.420,26,3승0무7패,1패,32-1-40,26-5-40
2023,10,키움,144,58,83,3,0.411,27.5,5승0무5패,2패,33-2-36,25-1-47
