Year,순위,팀명,경기,승,패,무,승률,게임차,득점,실점
2001,1,두산,133,65,63,5,0.508,0.0,732,733
2001,2,삼성,133,81,52,0,0.609,-13.5,739,644
2001,3,현대,133,72,57,4,0.558,-6.5,711,628
2001,4,한화,133,61,68,4,0.473,4.5,659,733
2001,5,KIA,133,60,68,5,0.469,5.0,683,727
2001,6,LG,133,58,67,8,0.464,5.5,669,732
2001,7,SK,133,60,71,2,0.458,6.5,596,640
2001,8,롯데,133,59,70,4,0.457,6.5,718,670
2002,1,삼성,133,82,47,4,0.636,0.0,777,581
2002,2,LG,133,66,61,6,0.52,15.0,583,575
2002,3,KIA,133,78,51,4,0.605,4.0,643,580
2002,4,현대,133,70,58,5,0.547,11.5,658,614
2002,5,두산,133,66,65,2,0.504,17.0,587,562
2002,6,SK,133,61,69,3,0.469,21.5,618,638
2002,7,한화,133,59,69,5,0.461,22.5,603,672
2002,8,롯데,133,35,97,1,0.265,48.5,463,710
2003,1,현대,133,80,51,2,0.611,0.0,723,627
2003,2,SK,133,66,64,3,0.508,13.5,644,642
2003,3,KIA,133,78,50,5,0.609,0.5,657,527
2003,4,삼성,133,76,53,4,0.589,3.0,769,613
2003,5,한화,133,63,65,5,0.492,15.5,577,617
2003,6,LG,133,60,71,2,0.458,20.0,509,579
2003,7,두산,133,57,74,2,0.435,23.0,563,619
2003,8,롯데,133,39,91,3,0.3,40.5,491,709
2004,1,현대,133,75,53,5,0.586,0.0,692,590
2004,2,삼성,133,73,52,8,0.584,0.5,641,564
2004,3,두산,133,70,62,1,0.53,7.0,606,560
2004,4,KIA,133,67,61,5,0.523,8.0,643,637
2004,5,SK,133,61,64,8,0.488,12.5,655,644
2004,6,LG,133,59,70,4,0.457,16.5,588,637
2004,7,한화,133,53,74,6,0.417,21.5,632,750
2004,8,롯데,133,50,72,11,0.41,22.0,533,608
2005,1,삼성,126,74,48,4,0.607,0.0,614,528
2005,2,두산,126,72,51,3,0.585,2.5,596,465
2005,3,SK,126,70,50,6,0.583,3.0,589,485
2005,4,한화,126,64,61,1,0.512,11.5,622,603
2005,5,롯데,126,58,67,1,0.464,17.5,500,573
2005,6,LG,126,54,71,1,0.432,21.5,601,666
2005,7,현대,126,53,70,3,0.431,21.5,563,647
2005,8,KIA,126,49,76,1,0.392,26.5,541,659
2006,1,삼성,126,73,50,3,0.593,0.0,538,471
2006,2,한화,126,67,57,2,0.54,6.5,511,475
2006,3,현대,126,70,55,1,0.56,4.0,547,467
2006,4,KIA,126,64,59,3,0.52,9.0,476,451
2006,5,두산,126,63,60,3,0.512,10.0,455,467
2006,6,SK,126,60,65,1,0.48,14.0,509,535
2006,7,롯데,126,50,73,3,0.407,23.0,488,541
2006,8,LG,126,47,75,4,0.385,25.5,457,574
2007,1,SK,126,73,48,5,0.603,0.0,603,465
2007,2,두산,126,70,54,2,0.565,4.5,578,480
2007,3,한화,126,67,57,2,0.54,7.5,534,481
2007,4,삼성,126,62,60,4,0.508,11.5,497,509
2007,5,LG,126,58,62,6,0.483,14.5,532,600
2007,6,현대,126,56,69,1,0.448,19.0,530,615
2007,7,롯데,126,55,68,3,0.447,19.0,533,554
2007,8,KIA,126,51,74,1,0.408,24.0,499,602
2008,1,SK,126,83,43,0,0.659,0.0,632,461
2008,2,두산,126,70,56,0,0.556,13.0,647,542
2008,3,롯데,126,69,57,0,0.548,14.0,624,518
2008,4,삼성,126,65,61,0,0.516,18.0,557,596
2008,5,한화,126,64,62,0,0.508,19.0,592,595
2008,6,KIA,126,57,69,0,0.452,26.0,503,555
2008,7,우리,126,50,76,0,0.397,33.0,499,609
2008,8,LG,126,46,80,0,0.365,37.0,468,646
2009,1,KIA,133,81,48,4,0.609,0.0,706,581
2009,2,SK,133,80,47,6,0.602,0.0,732,550
2009,3,두산,133,71,60,2,0.534,11.0,722,662
2009,4,롯데,133,66,67,0,0.496,17.0,637,669
2009,5,삼성,133,64,69,0,0.481,19.0,685,700
2009,6,히어로즈,133,60,72,1,0.451,22.5,683,762
2009,7,LG,133,54,75,4,0.406,27.0,670,763
2009,8,한화,133,46,84,3,0.346,35.5,657,805
2010,1,SK,133,84,47,2,0.632,0.0,704,545
2010,2,삼성,133,79,52,2,0.594,5.0,681,575
2010,3,두산,133,73,57,3,0.549,10.5,731,669
2010,4,롯데,133,69,61,3,0.519,14.5,773,710
2010,5,KIA,133,59,74,0,0.444,26.0,611,641
2010,6,LG,133,57,71,5,0.429,25.5,688,746
2010,7,넥센,133,52,78,3,0.391,31.5,570,652
2010,8,한화,133,49,82,2,0.368,35.0,543,763
2011,1,삼성,133,79,50,4,0.612,0.0,625,513
2011,2,SK,133,71,59,3,0.546,8.5,584,522
2011,3,롯데,133,72,56,5,0.563,6.5,713,619
2011,4,KIA,133,70,63,0,0.526,11.0,627,580
2011,5,두산,133,61,70,2,0.466,19.0,614,619
2011,6,LG,133,59,72,2,0.45,21.0,579,620
2011,6,한화,133,59,72,2,0.45,21.0,568,727
2011,8,넥센,133,51,80,2,0.389,29.0,512,622
2012,1,삼성,133,80,51,2,0.611,0.0,628,473
2012,2,SK,133,71,59,3,0.546,8.5,564,528
2012,3,두산,133,68,62,3,0.523,11.5,524,519
2012,4,롯데,133,65,62,6,0.512,13.0,509,518
2012,5,KIA,133,62,65,6,0.488,16.0,553,564
2012,6,넥센,133,61,69,3,0.469,18.5,549,551
2012,7,LG,133,57,72,4,0.442,22.0,544,580
2012,8,한화,133,53,77,3,0.408,26.5,509,647
2013,1,삼성,128,75,51,2,0.595,0.0,669,545
2013,2,두산,128,71,54,3,0.568,3.5,699,625
2013,3,LG,128,74,54,0,0.578,2.0,616,510
2013,4,넥센,128,72,54,2,0.571,3.0,646,576
2013,5,롯데,128,66,58,4,0.532,8.0,556,553
2013,6,SK,128,62,63,3,0.496,12.5,588,571
2013,7,NC,128,52,72,4,0.419,22.0,512,551
2013,8,KIA,128,51,74,3,0.408,23.5,587,711
2013,9,한화,128,42,85,1,0.331,33.5,480,711
2014,1,삼성,128,78,47,3,0.624,0.0,812,621
2014,2,넥센,128,78,48,2,0.619,0.5,841,716
2014,3,NC,128,70,57,1,0.551,9.0,737,608
2014,4,LG,128,62,64,2,0.492,16.5,668,643
2014,5,SK,128,61,65,2,0.484,17.5,735,760
2014,6,두산,128,59,68,1,0.465,20.0,687,733
2014,7,롯데,128,58,69,1,0.457,21.0,716,719
2014,8,KIA,128,54,74,0,0.422,25.5,662,788
2014,9,한화,128,49,77,2,0.389,29.5,619,889
2015,1,두산,144,79,65,0,0.549,9.0,807,776
2015,2,삼성,144,88,56,0,0.611,0.0,897,716
2015,3,NC,144,84,57,3,0.596,2.5,844,655
2015,4,넥센,144,78,65,1,0.545,9.5,904,790
2015,5,SK,144,69,73,2,0.486,18.0,693,724
2015,6,한화,144,68,76,0,0.472,20.0,717,800
2015,7,KIA,144,67,77,0,0.465,21.0,648,739
2015,8,롯데,144,66,77,1,0.462,21.5,765,802
2015,9,LG,144,64,78,2,0.451,23.0,653,721
2015,10,KT,144,52,91,1,0.364,35.5,670,875
2016,1,두산,144,93,50,1,0.65,0.0,935,682
2016,2,NC,144,83,58,3,0.589,9.0,857,690
2016,3,넥센,144,77,66,1,0.538,16.0,813,757
2016,4,LG,144,71,71,2,0.5,21.5,786,807
2016,5,KIA,144,70,73,1,0.49,23.0,803,785
2016,6,SK,144,69,75,0,0.479,24.5,753,784
2016,7,한화,144,66,75,3,0.468,26.0,826,908
2016,8,롯데,144,66,78,0,0.458,27.5,777,865
2016,9,삼성,144,65,78,1,0.455,28.0,852,869
2016,10,KT,144,53,89,2,0.373,39.5,672,927
2017,1,KIA,144,87,56,1,0.608,0.0,906,743
2017,2,두산,144,84,57,3,0.596,2.0,849,678
2017,3,롯데,144,80,62,2,0.563,6.5,743,701
2017,4,NC,144,79,62,3,0.56,7.0,786,745
2017,5,SK,144,75,68,1,0.524,12.0,761,767
2017,6,LG,144,69,72,3,0.489,17.0,699,677
2017,7,넥센,144,69,73,2,0.486,17.5,789,764
2017,8,한화,144,61,81,2,0.43,25.5,737,820
2017,9,삼성,144,55,84,5,0.396,30.0,757,911
2017,10,KT,144,50,94,0,0.347,37.5,655,876
2018,1,SK,144,78,65,1,0.545,14.5,829,729
2018,2,두산,144,93,51,0,0.646,0.0,944,756
2018,3,한화,144,77,67,0,0.535,16.0,729,761
2018,4,넥센,144,75,69,0,0.521,18.0,825,780
2018,5,KIA,144,70,74,0,0.486,23.0,865,826
2018,6,삼성,144,68,72,4,0.486,23.0,776,802
2018,7,롯데,144,68,74,2,0.479,24.0,821,846
2018,8,LG,144,68,75,1,0.476,24.5,788,816
2018,9,KT,144,59,82,3,0.418,32.5,757,834
2018,10,NC,144,58,85,1,0.406,34.5,660,844
2019,1,두산,144,88,55,1,0.615,0.0,736,550
2019,2,키움,144,86,57,1,0.601,2.0,780,572
2019,3,SK,144,88,55,1,0.615,0.0,655,546
2019,4,LG,144,79,64,1,0.552,9.0,641,633
2019,5,NC,144,73,69,2,0.514,14.5,674,631
2019,6,KT,144,71,71,2,0.5,16.5,650,661
2019,7,KIA,144,62,80,2,0.437,25.5,605,723
2019,8,삼성,144,60,83,1,0.42,28.0,622,731
2019,9,한화,144,58,86,0,0.403,30.5,607,737
2019,10,롯데,144,48,93,3,0.34,39.0,578,764
2020,1,NC,144,83,55,6,0.601,0.0,888,714
2020,2,두산,144,79,61,4,0.564,5.0,816,695
2020,3,KT,144,81,62,1,0.566,4.5,813,715
2020,4,LG,144,79,61,4,0.564,5.0,802,694
2020,5,키움,144,80,63,1,0.559,5.5,759,692
2020,6,KIA,144,73,71,0,0.507,13.0,724,795
2020,7,롯데,144,71,72,1,0.497,14.5,750,720
2020,8,삼성,144,64,75,5,0.46,19.5,699,745
2020,9,SK,144,51,92,1,0.357,34.5,634,846
2020,10,한화,144,46,95,3,0.326,38.5,551,820
2021,1,KT,144,76,59,9,0.563,0.0,719,584
2021,2,두산,144,71,65,8,0.522,5.5,738,656
2021,3,삼성,144,76,59,9,0.563,0.0,712,658
2021,4,LG,144,72,58,14,0.554,1.5,654,561
2021,5,키움,144,70,67,7,0.511,7.0,722,700
2021,6,SSG,144,66,64,14,0.508,7.5,755,741
2021,7,NC,144,67,68,9,0.496,9.0,702,697
2021,8,롯데,144,65,71,8,0.478,11.5,727,808
2021,9,KIA,144,58,76,10,0.433,17.5,568,752
2021,10,한화,144,49,83,12,0.371,25.5,599,739
2022,1,SSG,144,88,52,4,0.629,0.0,720,622
2022,2,키움,144,80,62,2,0.563,9.0,621,610
2022,3,LG,144,87,55,2,0.613,2.0,715,521
2022,4,KT,144,80,62,2,0.563,9.0,631,562
2022,5,KIA,144,70,73,1,0.49,19.5,720,679
2022,6,NC,144,67,74,3,0.475,21.5,646,642
2022,7,삼성,144,66,76,2,0.465,23.0,663,695
2022,8,롯데,144,64,76,4,0.457,24.0,605,712
2022,9,두산,144,60,82,2,0.423,29.0,638,721
2022,10,한화,144,46,96,2,0.324,43.0,564,759
2023,1,LG,144,86,56,2,0.606,0.0,767,610
2023,2,KT,144,79,62,3,0.56,6.5,672,616
2023,3,SSG,144,76,65,3,0.539,9.5,658,698
2023,4,NC,144,75,67,2,0.528,11.0,679,617
2023,5,두산,144,74,68,2,0.521,12.0,620,625
2023,6,KIA,144,73,69,2,0.514,13.0,726,650
2023,7,롯데,144,68,76,0,0.472,19.0,653,660
2023,8,삼성,144,61,82,1,0.427,25.5,636,728
2023,9,한화,144,58,80,6,0.42,26.0,604,708
2023,10,키움,144,58,83,3,0.411,27.5,607,710
