Year,순위,팀명,경기,승,패,무,승률,게임차,득점,실점,피타고리안승률,승률차,기대순위,기대순위-실제순위
2001,1,두산,133,65,63,5,0.508,0.0,732,733,0.4994,0.0086,4,3
2001,2,삼성,133,81,52,0,0.609,-13.5,739,644,0.5626,0.0464,1,-1
2001,3,현대,133,72,57,4,0.558,-6.5,711,628,0.5565,0.0015,2,-1
2001,4,한화,133,61,68,4,0.473,4.5,659,733,0.4515,0.0215,8,4
2001,5,KIA,133,60,68,5,0.469,5.0,683,727,0.4715,-0.0025,5,0
2001,6,LG,133,58,67,8,0.464,5.5,669,732,0.4589,0.0051,7,1
2001,7,SK,133,60,71,2,0.458,6.5,596,640,0.4675,-0.0095,6,-1
2001,8,롯데,133,59,70,4,0.457,6.5,718,670,0.5316,-0.0746,3,-5
2002,1,삼성,133,82,47,4,0.636,0.0,777,581,0.6299,0.0061,1,0
2002,2,LG,133,66,61,6,0.52,15.0,583,575,0.5063,0.0137,5,3
2002,3,KIA,133,78,51,4,0.605,4.0,643,580,0.547,0.058,2,-1
2002,4,현대,133,70,58,5,0.547,11.5,658,614,0.5316,0.0154,3,-1
2002,5,두산,133,66,65,2,0.504,17.0,587,562,0.5199,-0.0159,4,-1
2002,6,SK,133,61,69,3,0.469,21.5,618,638,0.4854,-0.0164,6,0
2002,7,한화,133,59,69,5,0.461,22.5,603,672,0.4506,0.0104,7,0
2002,8,롯데,133,35,97,1,0.265,48.5,463,710,0.3138,-0.0488,8,0
2003,1,현대,133,80,51,2,0.611,0.0,723,627,0.5648,0.0462,3,2
2003,2,SK,133,66,64,3,0.508,13.5,644,642,0.5014,0.0066,4,2
2003,3,KIA,133,78,50,5,0.609,0.5,657,527,0.5995,0.0095,2,-1
2003,4,삼성,133,76,53,4,0.589,3.0,769,613,0.6023,-0.0133,1,-3
2003,5,한화,133,63,65,5,0.492,15.5,577,617,0.4694,0.0226,5,0
2003,6,LG,133,60,71,2,0.458,20.0,509,579,0.4413,0.0167,7,1
2003,7,두산,133,57,74,2,0.435,23.0,563,619,0.4567,-0.0217,6,-1
2003,8,롯데,133,39,91,3,0.3,40.5,491,709,0.338,-0.038,8,0
2004,1,현대,133,75,53,5,0.586,0.0,692,590,0.5724,0.0136,1,0
2004,2,삼성,133,73,52,8,0.584,0.5,641,564,0.5583,0.0257,2,0
2004,3,두산,133,70,62,1,0.53,7.0,606,560,0.5361,-0.0061,3,0
2004,4,KIA,133,67,61,5,0.523,8.0,643,637,0.5043,0.0187,5,1
2004,5,SK,133,61,64,8,0.488,12.5,655,644,0.5077,-0.0197,4,-1
2004,6,LG,133,59,70,4,0.457,16.5,588,637,0.4634,-0.0064,6,0
2004,7,한화,133,53,74,6,0.417,21.5,632,750,0.4223,-0.0053,8,1
2004,8,롯데,133,50,72,11,0.41,22.0,533,608,0.4401,-0.0301,7,-1
2005,1,삼성,126,74,48,4,0.607,0.0,614,528,0.5686,0.0384,3,2
2005,2,두산,126,72,51,3,0.585,2.5,596,465,0.6116,-0.0266,1,-1
2005,3,SK,126,70,50,6,0.583,3.0,589,485,0.588,-0.005,2,-1
2005,4,한화,126,64,61,1,0.512,11.5,622,603,0.5142,-0.0022,4,0
2005,5,롯데,126,58,67,1,0.464,17.5,500,573,0.438,0.026,6,1
2005,6,LG,126,54,71,1,0.432,21.5,601,666,0.4532,-0.0212,5,-1
2005,7,현대,126,53,70,3,0.431,21.5,563,647,0.4367,-0.0057,7,0
2005,8,KIA,126,49,76,1,0.392,26.5,541,659,0.4107,-0.0187,8,0
2006,1,삼성,126,73,50,3,0.593,0.0,538,471,0.5605,0.0325,2,1
2006,2,한화,126,67,57,2,0.54,6.5,511,475,0.5334,0.0066,3,1
2006,3,현대,126,70,55,1,0.56,4.0,547,467,0.5718,-0.0118,1,-2
2006,4,KIA,126,64,59,3,0.52,9.0,476,451,0.5247,-0.0047,4,0
2006,5,두산,126,63,60,3,0.512,10.0,455,467,0.4881,0.0239,5,0
2006,6,SK,126,60,65,1,0.48,14.0,509,535,0.4772,0.0028,6,0
2006,7,롯데,126,50,73,3,0.407,23.0,488,541,0.453,-0.046,7,0
2006,8,LG,126,47,75,4,0.385,25.5,457,574,0.3972,-0.0122,8,0
2007,1,SK,126,73,48,5,0.603,0.0,603,465,0.6167,-0.0137,1,0
2007,2,두산,126,70,54,2,0.565,4.5,578,480,0.5842,-0.0192,2,0
2007,3,한화,126,67,57,2,0.54,7.5,534,481,0.5477,-0.0077,3,0
2007,4,삼성,126,62,60,4,0.508,11.5,497,509,0.4891,0.0189,4,0
2007,5,LG,126,58,62,6,0.483,14.5,532,600,0.4452,0.0378,6,1
2007,6,현대,126,56,69,1,0.448,19.0,530,615,0.4324,0.0156,7,1
2007,7,롯데,126,55,68,3,0.447,19.0,533,554,0.4823,-0.0353,5,-2
2007,8,KIA,126,51,74,1,0.408,24.0,499,602,0.415,-0.007,8,0
2008,1,SK,126,83,43,0,0.659,0.0,632,461,0.6405,0.0185,1,0
2008,2,두산,126,70,56,0,0.556,13.0,647,542,0.5803,-0.0243,3,1
2008,3,롯데,126,69,57,0,0.548,14.0,624,518,0.5844,-0.0364,2,-1
2008,4,삼성,126,65,61,0,0.516,18.0,557,596,0.4691,0.0469,5,1
2008,5,한화,126,64,62,0,0.508,19.0,592,595,0.4977,0.0103,4,-1
2008,6,KIA,126,57,69,0,0.452,26.0,503,555,0.4551,-0.0031,6,0
2008,7,우리,126,50,76,0,0.397,33.0,499,609,0.4099,-0.0129,7,0
2008,8,LG,126,46,80,0,0.365,37.0,468,646,0.3567,0.0083,8,0
2009,1,KIA,133,81,48,4,0.609,0.0,706,581,0.5882,0.0208,2,1
2009,2,SK,133,80,47,6,0.602,0.0,732,550,0.6279,-0.0259,1,-1
2009,3,두산,133,71,60,2,0.534,11.0,722,662,0.5396,-0.0056,3,0
2009,4,롯데,133,66,67,0,0.496,17.0,637,669,0.4776,0.0184,5,1
2009,5,삼성,133,64,69,0,0.481,19.0,685,700,0.4901,-0.0091,4,-1
2009,6,히어로즈,133,60,72,1,0.451,22.5,683,762,0.4501,0.0009,6,0
2009,7,LG,133,54,75,4,0.406,27.0,670,763,0.4408,-0.0348,7,0
2009,8,한화,133,46,84,3,0.346,35.5,657,805,0.4081,-0.0621,8,0
2010,1,SK,133,84,47,2,0.632,0.0,704,545,0.615,0.017,1,0
2010,2,삼성,133,79,52,2,0.594,5.0,681,575,0.5768,0.0172,2,0
2010,3,두산,133,73,57,3,0.549,10.5,731,669,0.5405,0.0085,3,0
2010,4,롯데,133,69,61,3,0.519,14.5,773,710,0.5388,-0.0198,4,0
2010,5,KIA,133,59,74,0,0.444,26.0,611,641,0.4781,-0.0341,5,0
2010,6,LG,133,57,71,5,0.429,25.5,688,746,0.463,-0.034,6,0
2010,7,넥센,133,52,78,3,0.391,31.5,570,652,0.4388,-0.0478,7,0
2010,8,한화,133,49,82,2,0.368,35.0,543,763,0.3492,0.0188,8,0
2011,1,삼성,133,79,50,4,0.612,0.0,625,513,0.5894,0.0226,1,0
2011,2,SK,133,71,59,3,0.546,8.5,584,522,0.5512,-0.0052,3,1
2011,3,롯데,133,72,56,5,0.563,6.5,713,619,0.5643,-0.0013,2,-1
2011,4,KIA,133,70,63,0,0.526,11.0,627,580,0.5356,-0.0096,4,0
2011,5,두산,133,61,70,2,0.466,19.0,614,619,0.4963,-0.0303,5,0
2011,6,LG,133,59,72,2,0.45,21.0,579,620,0.4687,-0.0187,6,0
2011,6,한화,133,59,72,2,0.45,21.0,568,727,0.389,0.061,8,2
2011,8,넥센,133,51,80,2,0.389,29.0,512,622,0.4119,-0.0229,7,-1
2012,1,삼성,133,80,51,2,0.611,0.0,628,473,0.6268,-0.0158,1,0
2012,2,SK,133,71,59,3,0.546,8.5,564,528,0.5301,0.0159,2,0
2012,3,두산,133,68,62,3,0.523,11.5,524,519,0.5044,0.0186,3,0
2012,4,롯데,133,65,62,6,0.512,13.0,509,518,0.492,0.02,5,1
2012,5,KIA,133,62,65,6,0.488,16.0,553,564,0.491,-0.003,6,1
2012,6,넥센,133,61,69,3,0.469,18.5,549,551,0.4983,-0.0293,4,-2
2012,7,LG,133,57,72,4,0.442,22.0,544,580,0.4707,-0.0287,7,0
2012,8,한화,133,53,77,3,0.408,26.5,509,647,0.392,0.016,8,0
2013,1,삼성,128,75,51,2,0.595,0.0,669,545,0.5927,0.0023,1,0
2013,2,두산,128,71,54,3,0.568,3.5,699,625,0.551,0.017,4,2
2013,3,LG,128,74,54,0,0.578,2.0,616,510,0.5855,-0.0075,2,-1
2013,4,넥센,128,72,54,2,0.571,3.0,646,576,0.5523,0.0187,3,-1
2013,5,롯데,128,66,58,4,0.532,8.0,556,553,0.5025,0.0295,6,1
2013,6,SK,128,62,63,3,0.496,12.5,588,571,0.5134,-0.0174,5,-1
2013,7,NC,128,52,72,4,0.419,22.0,512,551,0.4665,-0.0475,7,0
2013,8,KIA,128,51,74,3,0.408,23.5,587,711,0.4132,-0.0052,8,0
2013,9,한화,128,42,85,1,0.331,33.5,480,711,0.3276,0.0034,9,0
2014,1,삼성,128,78,47,3,0.624,0.0,812,621,0.6203,0.0037,1,0
2014,2,넥센,128,78,48,2,0.619,0.5,841,716,0.5731,0.0459,3,1
2014,3,NC,128,70,57,1,0.551,9.0,737,608,0.5871,-0.0361,2,-1
2014,4,LG,128,62,64,2,0.492,16.5,668,643,0.5174,-0.0254,4,0
2014,5,SK,128,61,65,2,0.484,17.5,735,760,0.4847,-0.0007,6,1
2014,6,두산,128,59,68,1,0.465,20.0,687,733,0.4704,-0.0054,7,1
2014,7,롯데,128,58,69,1,0.457,21.0,716,719,0.4981,-0.0411,5,-2
2014,8,KIA,128,54,74,0,0.422,25.5,662,788,0.421,0.001,8,0
2014,9,한화,128,49,77,2,0.389,29.5,619,889,0.3402,0.0488,9,0
2015,1,두산,144,79,65,0,0.549,9.0,807,776,0.5179,0.0311,4,3
2015,2,삼성,144,88,56,0,0.611,0.0,897,716,0.6017,0.0093,2,0
2015,3,NC,144,84,57,3,0.596,2.5,844,655,0.6139,-0.0179,1,-2
2015,4,넥센,144,78,65,1,0.545,9.5,904,790,0.5614,-0.0164,3,-1
2015,5,SK,144,69,73,2,0.486,18.0,693,724,0.48,0.006,5,0
2015,6,한화,144,68,76,0,0.472,20.0,717,800,0.4501,0.0219,8,2
2015,7,KIA,144,67,77,0,0.465,21.0,648,739,0.4402,0.0248,9,2
2015,8,롯데,144,66,77,1,0.462,21.5,765,802,0.4784,-0.0164,6,-2
2015,9,LG,144,64,78,2,0.451,23.0,653,721,0.4548,-0.0038,7,-2
2015,10,KT,144,52,91,1,0.364,35.5,670,875,0.3802,-0.0162,10,0
2016,1,두산,144,93,50,1,0.65,0.0,935,682,0.6405,0.0095,1,0
2016,2,NC,144,83,58,3,0.589,9.0,857,690,0.5979,-0.0089,2,0
2016,3,넥센,144,77,66,1,0.538,16.0,813,757,0.5326,0.0054,3,0
2016,4,LG,144,71,71,2,0.5,21.5,786,807,0.4879,0.0121,6,2
2016,5,KIA,144,70,73,1,0.49,23.0,803,785,0.5104,-0.0204,4,-1
2016,6,SK,144,69,75,0,0.479,24.5,753,784,0.4816,-0.0026,7,1
2016,7,한화,144,66,75,3,0.468,26.0,826,908,0.4568,0.0112,8,1
2016,8,롯데,144,66,78,0,0.458,27.5,777,865,0.4511,0.0069,9,1
2016,9,삼성,144,65,78,1,0.455,28.0,852,869,0.491,-0.036,5,-4
2016,10,KT,144,53,89,2,0.373,39.5,672,927,0.3569,0.0161,10,0
2017,1,KIA,144,87,56,1,0.608,0.0,906,743,0.5898,0.0182,2,1
2017,2,두산,144,84,57,3,0.596,2.0,849,678,0.6015,-0.0055,1,-1
2017,3,롯데,144,80,62,2,0.563,6.5,743,701,0.5266,0.0364,3,0
2017,4,NC,144,79,62,3,0.56,7.0,786,745,0.5245,0.0355,4,0
2017,5,SK,144,75,68,1,0.524,12.0,761,767,0.4964,0.0276,7,2
2017,6,LG,144,69,72,3,0.489,17.0,699,677,0.5146,-0.0256,6,0
2017,7,넥센,144,69,73,2,0.486,17.5,789,764,0.5147,-0.0287,5,-2
2017,8,한화,144,61,81,2,0.43,25.5,737,820,0.4513,-0.0213,8,0
2017,9,삼성,144,55,84,5,0.396,30.0,757,911,0.4161,-0.0201,9,0
2017,10,KT,144,50,94,0,0.347,37.5,655,876,0.37,-0.023,10,0
2018,1,SK,144,78,65,1,0.545,14.5,829,729,0.5585,-0.0135,2,1
2018,2,두산,144,93,51,0,0.646,0.0,944,756,0.6002,0.0458,1,-1
2018,3,한화,144,77,67,0,0.535,16.0,729,761,0.4804,0.0546,8,5
2018,4,넥센,144,75,69,0,0.521,18.0,825,780,0.5256,-0.0046,3,-1
2018,5,KIA,144,70,74,0,0.486,23.0,865,826,0.5211,-0.0351,4,-1
2018,6,삼성,144,68,72,4,0.486,23.0,776,802,0.4849,0.0011,6,0
2018,7,롯데,144,68,74,2,0.479,24.0,821,846,0.4863,-0.0073,5,-2
2018,8,LG,144,68,75,1,0.476,24.5,788,816,0.484,-0.008,7,-1
2018,9,KT,144,59,82,3,0.418,32.5,757,834,0.4558,-0.0378,9,0
2018,10,NC,144,58,85,1,0.406,34.5,660,844,0.3894,0.0166,10,0
2019,1,두산,144,88,55,1,0.615,0.0,736,550,0.6302,-0.0152,2,1
2019,2,키움,144,86,57,1,0.601,2.0,780,572,0.6382,-0.0372,1,-1
2019,3,SK,144,88,55,1,0.615,0.0,655,546,0.5825,0.0325,3,0
2019,4,LG,144,79,64,1,0.552,9.0,641,633,0.5057,0.0463,5,1
2019,5,NC,144,73,69,2,0.514,14.5,674,631,0.5301,-0.0161,4,-1
2019,6,KT,144,71,71,2,0.5,16.5,650,661,0.4923,0.0077,6,0
2019,7,KIA,144,62,80,2,0.437,25.5,605,723,0.4192,0.0178,8,1
2019,8,삼성,144,60,83,1,0.42,28.0,622,731,0.4267,-0.0067,7,-1
2019,9,한화,144,58,86,0,0.403,30.5,607,737,0.4121,-0.0091,9,0
2019,10,롯데,144,48,93,3,0.34,39.0,578,764,0.3751,-0.0351,10,0
2020,1,NC,144,83,55,6,0.601,0.0,888,714,0.5985,0.0025,1,0
2020,2,두산,144,79,61,4,0.564,5.0,816,695,0.5729,-0.0089,2,0
2020,3,KT,144,81,62,1,0.566,4.5,813,715,0.5585,0.0075,4,1
2020,4,LG,144,79,61,4,0.564,5.0,802,694,0.5658,-0.0018,3,-1
2020,5,키움,144,80,63,1,0.559,5.5,759,692,0.5422,0.0168,5,0
2020,6,KIA,144,73,71,0,0.507,13.0,724,795,0.4573,0.0497,8,2
2020,7,롯데,144,71,72,1,0.497,14.5,750,720,0.5187,-0.0217,6,-1
2020,8,삼성,144,64,75,5,0.46,19.5,699,745,0.4709,-0.0109,7,-1
2020,9,SK,144,51,92,1,0.357,34.5,634,846,0.371,-0.014,9,0
2020,10,한화,144,46,95,3,0.326,38.5,551,820,0.3257,0.0003,10,0
2021,1,KT,144,76,59,9,0.563,0.0,719,584,0.594,-0.031,1,0
2021,2,두산,144,71,65,8,0.522,5.5,738,656,0.5537,-0.0317,3,1
2021,3,삼성,144,76,59,9,0.563,0.0,712,658,0.536,0.027,4,1
2021,4,LG,144,72,58,14,0.554,1.5,654,561,0.5697,-0.0157,2,-2
2021,5,키움,144,70,67,7,0.511,7.0,722,700,0.5142,-0.0032,5,0
2021,6,SSG,144,66,64,14,0.508,7.5,755,741,0.5086,-0.0006,6,0
2021,7,NC,144,67,68,9,0.496,9.0,702,697,0.5033,-0.0073,7,0
2021,8,롯데,144,65,71,8,0.478,11.5,727,808,0.4518,0.0262,8,0
2021,9,KIA,144,58,76,10,0.433,17.5,568,752,0.3744,0.0586,10,1
2021,10,한화,144,49,83,12,0.371,25.5,599,739,0.4051,-0.0341,9,-1
2022,1,SSG,144,88,52,4,0.629,0.0,720,622,0.5665,0.0625,2,1
2022,2,키움,144,80,62,2,0.563,9.0,621,610,0.5082,0.0548,5,3
2022,3,LG,144,87,55,2,0.613,2.0,715,521,0.6409,-0.0279,1,-2
2022,4,KT,144,80,62,2,0.563,9.0,631,562,0.5528,0.0102,3,-1
2022,5,KIA,144,70,73,1,0.49,19.5,720,679,0.5268,-0.0368,4,-1
2022,6,NC,144,67,74,3,0.475,21.5,646,642,0.5028,-0.0278,6,0
2022,7,삼성,144,66,76,2,0.465,23.0,663,695,0.4784,-0.0134,7,0
2022,8,롯데,144,64,76,4,0.457,24.0,605,712,0.426,0.031,9,1
2022,9,두산,144,60,82,2,0.423,29.0,638,721,0.4443,-0.0213,8,-1
2022,10,한화,144,46,96,2,0.324,43.0,564,759,0.3674,-0.0434,10,0
2023,1,LG,144,86,56,2,0.606,0.0,767,610,0.6033,0.0027,1,0
2023,2,KT,144,79,62,3,0.56,6.5,672,616,0.5397,0.0203,4,2
2023,3,SSG,144,76,65,3,0.539,9.5,658,698,0.473,0.066,7,4
2023,4,NC,144,75,67,2,0.528,11.0,679,617,0.5437,-0.0157,3,-1
2023,5,두산,144,74,68,2,0.521,12.0,620,625,0.4963,0.0247,5,0
2023,6,KIA,144,73,69,2,0.514,13.0,726,650,0.5504,-0.0364,2,-4
2023,7,롯데,144,68,76,0,0.472,19.0,653,660,0.4951,-0.0231,6,-1
2023,8,삼성,144,61,82,1,0.427,25.5,636,728,0.4385,-0.0115,8,0
2023,9,한화,144,58,80,6,0.42,26.0,604,708,0.4278,-0.0078,10,1
2023,10,키움,144,58,83,3,0.411,27.5,607,710,0.4288,-0.0178,9,-1
